Identifier: KEWR04RL_arrival_corridor
Segment: 1
Surface: w1
713.407389 -2515.691312 0.000000
713.463235 -2515.888243 0.082289
713.641932 -2515.887672 0.082289
713.586072 -2515.690740 0.000000

Surface: w2
710.946857 -2522.006780 0.246868
711.180549 -2522.835779 0.592484
711.860638 -2523.730222 0.592484
711.626722 -2522.900928 0.246868

Surface: s1
710.946857 -2522.006780 0.246868
711.180549 -2522.835779 0.592484
713.463235 -2515.888243 0.082289
713.407389 -2515.691312 0.000000

Surface: s2
713.586072 -2515.690740 0.000000
713.641932 -2515.887672 0.082289
711.860638 -2523.730222 0.592484
711.626722 -2522.900928 0.246868

Surface: u
713.463235 -2515.888243 0.082289
711.180549 -2522.835779 0.592484
711.860638 -2523.730222 0.592484
713.641932 -2515.887672 0.082289

Surface: l
710.946857 -2522.006780 0.246868
713.407389 -2515.691312 0.000000
713.586072 -2515.690740 0.000000
711.626722 -2522.900928 0.246868

Segment: 2
Surface: w1
710.946857 -2522.006780 0.246868
711.180549 -2522.835779 0.592484
711.860638 -2523.730222 0.592484
711.626722 -2522.900928 0.246868

Surface: w2
705.865370 -2522.345900 0.296242
706.218910 -2523.609244 0.822894
710.127501 -2534.712203 0.822894
709.771998 -2533.443278 0.296242

Surface: s1
705.865370 -2522.345900 0.296242
706.218910 -2523.609244 0.822894
711.180549 -2522.835779 0.592484
710.946857 -2522.006780 0.246868

Surface: s2
711.626722 -2522.900928 0.246868
711.860638 -2523.730222 0.592484
710.127501 -2534.712203 0.822894
709.771998 -2533.443278 0.296242

Surface: u
711.180549 -2522.835779 0.592484
706.218910 -2523.609244 0.822894
710.127501 -2534.712203 0.822894
711.860638 -2523.730222 0.592484

Surface: l
705.865370 -2522.345900 0.296242
710.946857 -2522.006780 0.246868
711.626722 -2522.900928 0.246868
709.771998 -2533.443278 0.296242

Segment: 3
Surface: w1
705.865370 -2522.345900 0.296242
706.218910 -2523.609244 0.822894
710.127501 -2534.712203 0.822894
709.771998 -2533.443278 0.296242

Surface: w2
697.714213 -2518.624216 0.427905
697.976271 -2519.570199 0.822894
702.348567 -2535.456612 0.822894
702.084861 -2534.504641 0.427905

Surface: s1
697.714213 -2518.624216 0.427905
697.976271 -2519.570199 0.822894
706.218910 -2523.609244 0.822894
705.865370 -2522.345900 0.296242

Surface: s2
709.771998 -2533.443278 0.296242
710.127501 -2534.712203 0.822894
702.348567 -2535.456612 0.822894
702.084861 -2534.504641 0.427905

Surface: u
706.218910 -2523.609244 0.822894
697.976271 -2519.570199 0.822894
702.348567 -2535.456612 0.822894
710.127501 -2534.712203 0.822894

Surface: l
697.714213 -2518.624216 0.427905
705.865370 -2522.345900 0.296242
709.771998 -2533.443278 0.296242
702.084861 -2534.504641 0.427905

Identifier: KEWR04RL_departure_corridor
Segment: 1
Surface: w1
713.340148 -2515.871256 0.000000
713.384821 -2516.028813 0.065832
713.406284 -2516.031220 0.065832
713.361609 -2515.873664 0.000000

Surface: w2
713.869301 -2515.386007 0.131663
714.048102 -2516.016031 0.394989
714.491610 -2515.890121 0.394989
714.312698 -2515.260128 0.131663

Surface: s1
713.869301 -2515.386007 0.131663
714.048102 -2516.016031 0.394989
713.384821 -2516.028813 0.065832
713.340148 -2515.871256 0.000000

Surface: s2
713.361609 -2515.873664 0.000000
713.406284 -2516.031220 0.065832
714.491610 -2515.890121 0.394989
714.312698 -2515.260128 0.131663

Surface: u
713.384821 -2516.028813 0.065832
714.048102 -2516.016031 0.394989
714.491610 -2515.890121 0.394989
713.406284 -2516.031220 0.065832

Surface: l
713.869301 -2515.386007 0.131663
713.340148 -2515.871256 0.000000
713.361609 -2515.873664 0.000000
714.312698 -2515.260128 0.131663

Segment: 2
Surface: w1
713.869301 -2515.386007 0.131663
714.048102 -2516.016031 0.394989
714.491610 -2515.890121 0.394989
714.312698 -2515.260128 0.131663

Surface: w2
711.040690 -2516.183663 0.279784
711.407955 -2517.483316 0.822894
716.673639 -2514.503149 0.822894
716.303657 -2513.205037 0.279784

Surface: s1
711.040690 -2516.183663 0.279784
711.407955 -2517.483316 0.822894
714.048102 -2516.016031 0.394989
713.869301 -2515.386007 0.131663

Surface: s2
714.312698 -2515.260128 0.131663
714.491610 -2515.890121 0.394989
716.673639 -2514.503149 0.822894
716.303657 -2513.205037 0.279784

Surface: u
714.048102 -2516.016031 0.394989
711.407955 -2517.483316 0.822894
716.673639 -2514.503149 0.822894
